t,vx,vy,vw,encoder1,encoder2,encoder3,encoder4,gyroX,gyroY,gyroZ,accX,accY,accZ
0.01,2.250581681,0,0,0.312280543,-0.617656614,-0.39649151,0.178297217,-0.044027657,0.355167975,-0.283600746,3.414690329,0.040387872,9.822172381
0.01,2.280142371,0,0,0.781295021,-0.157127442,0.066145484,0.644113392,0.173242609,0.299843326,-0.144033612,3.035021664,0.023834194,9.835387479
0.01,2.306199571,0,0,1.255318257,0.310721482,0.53170588,1.115552987,0.067495062,0.278163935,-0.381348982,2.651464842,0.036260218,9.824872537
0.01,2.329168511,0,0,1.731895905,0.780592188,1.006678966,1.59102026,-0.080252604,0.269694465,-0.233816373,2.364298375,0.027245246,9.845768483
0.01,2.349415206,0,0,2.214632625,1.255157631,1.482718754,2.072609658,0.088806938,0.31279874,-0.191982554,2.082917401,0.028255898,9.84343176
0.01,2.367262293,0,0,2.701145665,1.733847777,1.96208062,2.556416024,0.117404368,0.287504016,-0.293554465,1.853250359,0.021383099,9.825665287
0.01,2.382994169,0,0,-3.092303671,2.215445366,2.446723943,3.042024838,-0.048482555,0.428585467,-0.247251976,1.613434468,0.028665356,9.820936818
0.01,2.396861527,0,0,-2.599696392,2.701473781,2.931532121,-2.752009108,-0.130255524,0.230151899,-0.266879993,1.441307904,0.036722392,9.842130383
0.01,2.409085346,0,0,-2.105085624,-3.091384454,-2.861611877,-2.25915796,0.126576047,0.359596824,-0.227965516,1.257763264,0.027462708,9.839413254
0.01,2.419860416,0,0,-1.609077103,-2.600454551,-2.372615062,-1.765655308,-0.009877295,0.189539844,-0.263036535,1.126790601,0.026316759,9.826940846
0.01,2.429358441,0,0,-1.10807731,-2.109718691,-1.880319839,-1.271539264,-0.026809113,0.250346134,-0.339777013,1.002522061,0.049928718,9.819026657
0.01,2.437730774,0,0,-0.606820126,-1.614886785,-1.384354099,-0.772927041,0.155995869,0.293595616,-0.331553297,0.8723578,0.016619393,9.829033462
0.01,2.44511083,0,0,-0.104636526,-1.119665769,-0.890141637,-0.271577383,0.062918988,0.273823895,-0.317964506,0.780855467,0.025652235,9.841429676
0.01,2.451616213,0,0,0.397911875,-0.623362816,-0.393516621,0.227770723,0.005064105,0.326190368,-0.164704887,0.692531121,0.041107088,9.836517769
0.01,2.457350588,0,0,0.900811051,-0.126282413,0.105303295,0.731245561,0.104090657,0.239454158,-0.366546588,0.622842555,0.025948584,9.820156042
0.01,2.462405333,0,0,1.408379307,0.370011392,0.606825225,1.234588559,-0.07671601,0.313006361,-0.260514244,0.547422842,0.030888323,9.820616979
0.01,2.466860997,0,0,1.915362326,0.867332591,1.107313316,1.738249273,0.088843161,0.324820285,-0.229594929,0.474100709,0.037955397,9.819698454
0.01,2.470788583,0,0,2.421621579,1.366741314,1.6116111,2.243747495,0.200994054,0.366772181,-0.306267806,0.43129614,0.033207288,9.837862983
0.01,2.474250677,0,0,2.930346124,1.866162085,2.11526519,2.747051708,0.080412536,0.305809303,-0.254266021,0.367187731,0.042402823,9.858532413
0.01,2.477302448,0,0,-2.844752693,2.366987753,2.617898892,-3.029365339,0.000339625,0.228382351,-0.157329709,0.326176834,0.022745327,9.845451171
0.01,2.479992529,0,0,-2.335159488,2.867307984,3.118654377,-2.521908157,0.045912733,0.239407722,-0.36622131,0.31218583,0.024828079,9.825978913
0.01,2.482363784,0,0,-1.825281559,-2.915738332,-2.660579903,-2.014140438,-0.018187724,0.251721657,-0.285363558,0.264569109,0.014133224,9.852614011
0.01,2.484454003,0,0,-1.313994621,-2.414062932,-2.155905156,-1.507361796,0.16634906,0.307844112,-0.171934284,0.234844429,0.042078844,9.861885631
0.01,2.486296491,0,0,-0.802673841,-1.912323752,-1.650848915,-0.999780624,-0.081626046,0.340207219,-0.414345611,0.209682684,0.018832455,9.845021732
0.01,2.487920611,0,0,-0.294490158,-1.412161843,-1.143362748,-0.492012972,-0.049774176,0.358748091,-0.287382071,0.198305401,0.042008226,9.846343012
0.01,2.489352242,0,0,0.216476183,-0.90910161,-0.636547964,0.015079113,-0.008526529,0.311442596,-0.209460813,0.181990342,0.027719103,9.819029569
0.01,2.490614199,0,0,0.729579564,-0.404983719,-0.132410367,0.526188931,0.110368583,0.298450872,-0.238194231,0.162981949,0.01775202,9.835172165
0.01,2.49172659,0,0,1.243052643,0.099084096,0.371893437,1.035192063,0.038193621,0.257031099,-0.276817366,0.146162084,0.046409138,9.820737995
0.01,2.492707142,0,0,1.751767518,0.604350643,0.877616138,1.541621644,0.047856748,0.223894491,-0.339193711,0.128772072,0.033905299,9.821086736
0.01,2.493571481,0,0,2.264108324,1.108488169,1.382835849,2.051190843,0.149986185,0.267908502,-0.344923598,0.128815279,0.025026532,9.851316892
0.01,2.494333379,0,0,2.774236912,1.612345967,1.888360306,2.561623163,-0.003493804,0.244552339,-0.401560583,0.095183507,0.025041761,9.846688659
0.01,2.495004979,0,0,-2.99268448,2.115470509,2.392709298,3.069975492,0.026748571,0.233320015,-0.401868454,0.093409097,0.025121777,9.845254937
0.01,2.495596981,0,0,-2.479938286,2.61982096,2.901142144,-2.703482725,0.016937981,0.272006155,-0.367422637,0.092115735,0.017309137,9.833941689
0.01,2.496118821,0,0,-1.966362828,3.124018114,-2.875928283,-2.196178998,0.11693969,0.202384571,-0.301805653,0.090949656,0.032685828,9.828609921
0.01,2.496578812,0,0,-1.453827107,-2.656521503,-2.369174033,-1.683998811,0.055031592,0.299860996,-0.330062714,0.08043756,0.023185458,9.841471456
